,"Mean, a = 1.54","Ambiguity averse, 1.5x weight to worst","Ambiguity averse, 2x weight to worst",fifth percentile,ninety fifth percentile,median
X-Risk - Scenario 11,-225246380177.40945,-244377586662.88577,-263508793148.3621,-433267035549.56433,-93313907875.88113,-202984600904.3629
X-Risk - Scenario 10,-226086554205.40408,-245212858956.02298,-264339163706.64124,-434026405724.32104,-94188378267.39177,-203832932735.02982
X-Risk - Scenario 12,-226115776491.49252,-245242104905.31647,-264368433319.14026,-434063946957.228,-94213553012.91734,-203863263996.7372
X-Risk - Scenario 7,-226196164911.47,-245321870315.5594,-264447575719.64905,-434134064545.8233,-94300942569.09007,-203942615667.4173
X-Risk - Scenario 9,-226196670512.2933,-245322379207.185,-264448087902.07654,-434130563456.13196,-94302933168.15773,-203944063101.64584
CF campaign,-226200495127.4021,-245326143574.76294,-264451792022.12402,-434136731242.13135,-94306001849.1973,-203947152546.55084
X-Risk - Scenario 8,-226202436023.3635,-245328107110.92877,-264453778198.49384,-434140993018.88245,-94307543249.56007,-203948967462.83862
X-Risk - Scenario 6,-226202971936.77838,-245328640087.91858,-264454308239.05893,-434142104678.4415,-94308912778.41222,-203949945988.75726
X-Risk - Scenario 4,-226205659292.14062,-245331313079.4211,-264456966866.7012,-434144041208.98627,-94311441108.82205,-203952629222.50208
X-Risk - Scenario 5,-226205739991.9271,-245331393123.8433,-264457046255.7596,-434143449821.7519,-94311169986.64474,-203952145486.5307
AMF,-226206437891.44818,-245332077527.74414,-264457717164.04,-434143499767.59576,-94311843403.9774,-203953330390.11987
X-Risk - Scenario 3,-226207043473.2668,-245332690147.05167,-264458336820.83676,-434144001077.3882,-94312431225.22542,-203954537323.8792
Shrimp - Ammonia,-226207254144.06454,-245332896374.96252,-264458538605.86072,-434144999102.22296,-94312675159.36395,-203954141758.30194
X-Risk - Scenario 2,-226207824899.62915,-245333467255.665,-264459109611.70053,-434145491916.3866,-94313032509.21666,-203954723328.21655
X-Risk - Scenario 1,-226208085362.21185,-245333726232.10345,-264459367101.9952,-434145648200.40283,-94313791529.52626,-203954853276.17682
Shrimp - Stunning,-226208305277.34567,-245333944936.07126,-264459584594.79694,-434145395467.74164,-94313806098.70172,-203955113137.53052
Nothing,-226208343727.7626,-245333983288.8108,-264459622849.85913,-434145473949.74084,-94313919299.25945,-203955167071.89734
