,"Mean, a = 1","Ambiguity averse, 1.5x weight to worst","Ambiguity averse, 2x weight to worst",fifth percentile,ninety fifth percentile,median
X-Risk - Scenario 11,-149541363503.07056,-163099975906.0354,-176658588309.00034,-298330914364.01666,-58910256071.29369,-132476319916.35773
X-Risk - Scenario 10,-150129161545.23074,-163688423745.16553,-177247685945.10004,-298930511949.9036,-59490697511.57182,-133061728216.42624
X-Risk - Scenario 12,-150149836971.70496,-163709284858.04108,-177268732744.37708,-298950250100.9765,-59509340930.906975,-133081344672.17062
X-Risk - Scenario 7,-150205863099.008,-163765245082.6473,-177324627066.2863,-299000981471.81866,-59567604763.75698,-133138616320.1946
X-Risk - Scenario 9,-150206186737.89346,-163765575839.92007,-177324964941.94687,-299005372154.00507,-59565740189.09615,-133139822983.47589
CF campaign,-150207105209.88364,-163766500444.84662,-177325895679.80978,-299004132083.19867,-59568359740.030716,-133139875568.41873
X-Risk - Scenario 8,-150210255838.86655,-163769644356.31342,-177329032873.76022,-299004938559.1327,-59571802569.05131,-133143950768.58347
X-Risk - Scenario 6,-150210630332.26593,-163770019547.33813,-177329408762.4103,-299006851232.7439,-59571507777.36952,-133143206835.33417
AMF,-150212484964.69333,-163771880458.05103,-177331275951.4084,-299008105495.0428,-59573465645.561165,-133145603372.64319
X-Risk - Scenario 4,-150212510386.19977,-163771902908.78748,-177331295431.37527,-299008537243.23517,-59573765079.64517,-133145672042.16405
X-Risk - Scenario 5,-150212569425.88937,-163771961851.3359,-177331354276.7827,-299007363794.1867,-59574049979.840126,-133145465900.19829
X-Risk - Scenario 3,-150213478396.41034,-163772872395.2062,-177332266394.00214,-299008870484.63837,-59574336877.848495,-133146694819.03003
Shrimp - Ammonia,-150213484981.3095,-163772880333.7975,-177332275686.28534,-299009102500.85144,-59574731436.70068,-133146590731.64316
X-Risk - Scenario 2,-150214029299.15137,-163773424139.8993,-177332818980.64697,-299009372632.27075,-59575199660.99815,-133147053032.45303
X-Risk - Scenario 1,-150214210384.81244,-163773605638.9552,-177333000893.09793,-299010153441.59863,-59575185955.757515,-133147479487.32965
Shrimp - Stunning,-150214348706.2979,-163773744219.29538,-177333139732.29324,-299009807429.31433,-59575343014.168655,-133147495159.70338
Nothing,-150214390917.87375,-163773786437.62973,-177333181957.38586,-299009814488.61414,-59575447120.095116,-133147514533.62604
