,"Mean, a = 1.54","Ambiguity averse, 1.5x weight to worst","Ambiguity averse, 2x weight to worst",fifth percentile,ninety fifth percentile,median
X-Risk - Scenario 11,961930511.663422,854628925.5212319,747327339.3790393,-269414901.53973615,1690018729.531745,1118424743.2665787
X-Risk - Scenario 10,121787427.89021066,106088786.50124195,90390145.11227342,-32777656.103291318,248258517.82926023,132171385.55789185
X-Risk - Scenario 12,92280197.89281239,23861933.192499056,-44556331.507814184,-341308599.60929567,1227043105.1938689,0.0
X-Risk - Scenario 7,12185381.899215719,10615521.005953727,9045660.112691738,-3271935.729385376,24834794.26182632,13218597.860839844
X-Risk - Scenario 9,11724579.014659174,2888645.1807657927,-5947288.653127594,-41534151.75148239,152316264.7218826,0.0
CF campaign,7828029.151761129,6281086.878642096,4734144.605523066,667560.6155410766,25064621.506613154,4906643.892669678
X-Risk - Scenario 8,5908296.089487201,4128848.939231159,2349401.7889751294,-7552752.803352356,22688995.518217467,0.0
X-Risk - Scenario 6,5373479.078446273,4366032.048456356,3358585.0184664438,-1157895.913369751,15816128.988669585,4332112.7048950195
X-Risk - Scenario 4,2687075.758251905,2183626.1960843466,1680176.6339167836,-578505.0233787536,7909173.180371094,2166225.4557495117
X-Risk - Scenario 5,2602621.9411329417,1598687.7051168208,594753.4691007037,-3669174.253581238,13125189.542582702,0.0
AMF,1905953.1801764106,1799348.7812462961,1692744.382316181,1346958.8346557617,2844587.6101928707,1890060.6755371094
X-Risk - Scenario 3,1303897.6270888704,801588.7734716659,299279.91985445935,-1831340.269995117,6567163.212724304,0.0
Shrimp - Ammonia,1094012.860797063,701687.1581590488,309361.45552103384,2665.0124969482426,4612750.103971861,193821.25045776367
X-Risk - Scenario 2,516668.04829826584,104711.68604645057,-307244.67620536534,-1464239.345939636,5789290.524288938,0.0
X-Risk - Scenario 1,257974.6001800839,52331.967190485564,-153310.66579911244,-732084.5261886596,2893583.6862556455,0.0
Shrimp - Stunning,50895.38230732182,38440.86113888219,25986.339970442597,1495.0073196411133,195239.81172637938,21721.341018676758
Nothing,0.0,0.0,0.0,0.0,0.0,0.0
