,"Mean, a = 1","Ambiguity averse, 1.5x weight to worst","Ambiguity averse, 2x weight to worst",fifth percentile,ninety fifth percentile,median
X-Risk - Scenario 11,673027414.8030405,598309569.2354739,523591723.66790754,-188761100.37114102,1176672286.4235015,783826951.6993866
X-Risk - Scenario 10,85229372.64293852,74274628.58640005,63319884.52986161,-22963573.09046631,173232742.39900282,92632941.18474579
X-Risk - Scenario 12,64553946.16838735,16707982.03173104,-31137982.104925264,-239138070.0396553,858453756.1786857,0.0
X-Risk - Scenario 7,8527818.865488362,7432320.270188496,6336821.674888623,-2293546.3715629578,17328312.894259643,9265476.576171875
X-Risk - Scenario 9,8204179.98019838,2023378.3218202274,-4157423.3365579275,-29085637.90396652,106624658.265242,0.0
CF campaign,7285707.989941865,5843417.418599176,4401126.847256481,617601.609790802,23358439.169339746,4558452.034236908
X-Risk - Scenario 8,4135079.0070511815,2891962.8434745497,1648846.67989793,-5282253.274726105,15844321.278092192,0.0
X-Risk - Scenario 6,3760585.607734609,3056305.5291382587,2352025.450541906,-811539.8580444335,11055049.429920578,3035198.1847877502
AMF,1905953.1801764765,1799348.7812463278,1692744.3823161786,1346958.8346557617,2844587.6101928707,1890060.6755371094
X-Risk - Scenario 4,1880531.6737021566,1528603.9571378627,1176676.240573569,-405074.3978172302,5529925.876421356,1517933.4044456482
X-Risk - Scenario 5,1821491.9845140371,1119432.3405669634,417372.6966198846,-2567871.8273025514,9179114.97105522,0.0
X-Risk - Scenario 3,912521.4633395161,561255.6616401072,209989.85994069776,-1281446.5313949585,4592018.710627747,0.0
Shrimp - Ammonia,905936.5641132514,579957.2973501729,253978.0305870931,2149.2952091217044,3814202.460037228,158146.85440063477
X-Risk - Scenario 2,361618.7223229296,73371.33770320698,-214876.04691651597,-1025384.460585022,4053669.4925537095,0.0
X-Risk - Scenario 1,180533.06120763937,36641.423691988835,-107250.21382366135,-513034.3556793213,2026254.8996322611,0.0
Shrimp - Stunning,42211.576030498836,31780.925367659613,21350.274704820367,1200.6266510009766,162481.37591400137,17718.21812438965
Nothing,0.0,0.0,0.0,0.0,0.0,0.0
