,AMF,CF campaign,Shrimp - Stunning,Shrimp - Ammonia,X-Risk - Scenario 1,X-Risk - Scenario 2,X-Risk - Scenario 3,X-Risk - Scenario 4,X-Risk - Scenario 5,X-Risk - Scenario 6,X-Risk - Scenario 7,X-Risk - Scenario 8,X-Risk - Scenario 9,X-Risk - Scenario 10,X-Risk - Scenario 11,X-Risk - Scenario 12
AMF,1.0,0.24347803811481902,37.44845001198114,1.742167069944492,7.388142781676666,3.688931774383943,1.4617352931546563,0.7093038498536197,0.7323204150606424,0.3546963061271492,0.15641308544454258,0.32258931362084703,0.16256047895565445,0.015649835235001398,0.001981383433695781,0.020653978033188237
CF campaign,4.107146614712007,1.0,153.80627469292014,7.155335583585257,30.344185614772268,15.15098364906457,6.0035611608852095,2.9132149057284877,3.007747313600809,1.4567897329609745,0.6424114743802128,1.3249216073801318,0.6676597208286786,0.06427616780623667,0.008137832262150079,0.08482891595934523
Shrimp - Stunning,0.026703374897494105,0.006501685331086372,1.0,0.04652174040279661,0.19728834649532695,0.09850692814265258,0.03903326553400723,0.018940806618877076,0.019555426588452822,0.0094715884372696,0.004176757259499398,0.00861422337954278,0.004340913413069043,0.00041790341736425504,5.29096246456626e-05,0.0005515309185448335
Shrimp - Ammonia,0.5739977624716908,0.13975584908890318,21.495326514910136,1.0,4.240777425503779,2.1174385844071075,0.8390327875966737,0.40713882272853386,0.4203502796571486,0.20359488607395748,0.08978076106646082,0.1851655442156447,0.09330935118687204,0.008982970407941429,0.001137309657539854,0.011855337177189501
X-Risk - Scenario 1,0.1353520132935303,0.032955242651599666,5.068723103843777,0.23580582041067763,1.0,0.4993043425653418,0.19784881483069144,0.09600570411453936,0.09912104255441169,0.04800885914208799,0.021170826020371816,0.0436631130655597,0.022002888108608395,0.002118236706769468,0.0002681842368571721,0.002795557509312377
X-Risk - Scenario 2,0.2710811858717559,0.06600231530589373,10.15157023830702,0.4722687153072752,2.002786506646764,1.0,0.396248936698963,0.19227892876172115,0.19851828655273543,0.09615149528927897,0.042400644688166886,0.08744789368589499,0.044067087411179436,0.004242375894201769,0.0005371157708729039,0.005598904858205864
X-Risk - Scenario 3,0.6841183931748966,0.16656780420848624,25.61917344908698,1.1918485365326437,5.054364368347352,2.5236660780233637,1.0,0.4852478100346265,0.5009938656404601,0.24265426701277656,0.10700506868584829,0.22068928288968667,0.11121061365688394,0.010706340134421037,0.0013555008509233172,0.014129766264734351
X-Risk - Scenario 4,1.4098330358792945,0.3432633816453499,52.796061969365375,2.4561646892287783,10.41604776740091,5.200777882631307,2.0608027060001395,1.0,1.0324495140013306,0.5000625700824103,0.22051633510352694,0.4547970713642966,0.2291831335600425,0.02206365472037277,0.0027934198215682636,0.029118660553514034
X-Risk - Scenario 5,1.3655224945725315,0.3324747379801736,51.13670087823523,2.3789683233127206,10.088675161493162,5.037319318864637,1.9960324239132567,0.9685703624620151,1.0,0.484345784758407,0.21358558662001828,0.44050296425797975,0.2219799907424308,0.021370202049748207,0.002705623649084951,0.02820347160672547
X-Risk - Scenario 6,2.8193132624322472,0.6864408619680935,105.57891177630947,4.911714725667235,20.829488929124096,10.400254275728372,4.1210896981562115,1.9997497509865614,2.064640658530357,1.0,0.44097748621174715,0.9094803302101696,0.45830891426701487,0.04412178803291892,0.0055861405925820605,0.0582300341909519
X-Risk - Scenario 7,6.393326985129755,1.5566347113659234,239.4201860128817,11.138243740880556,47.23481261608504,23.58454705947145,9.345351694842217,4.5348114439255705,4.681963871368627,2.267689465488547,1.0,2.0624189638866466,1.0393022968228032,0.10005451392076888,0.012667632174536288,0.13204763510985953
X-Risk - Scenario 8,3.099916698342161,0.7547616360317166,116.08707551917203,5.400572791422766,22.9026271786556,11.435381206457762,4.5312576438061924,2.198782848359617,2.2701322831833473,1.0995290022038327,0.4848675354087567,1.0,0.5039239432051328,0.04851318557128435,0.00614212359193208,0.0640256113922724
X-Risk - Scenario 9,6.1515566786241695,1.497768951463525,230.36626277532594,10.71703947439614,45.44857907125204,22.692672893700454,8.991947504986184,4.3633228347408695,4.504910540159118,2.1819344308397874,0.9621839603905887,1.9844264466571082,1.0,0.0962708484592407,0.012188592494466572,0.127054116510216
X-Risk - Scenario 10,63.898436308355855,15.557865910963203,2392.897397937225,111.32175155736306,472.09077097200543,235.71697203134252,93.40259952931868,45.32340687314312,46.79412939906118,22.66453932587473,9.994551578071524,20.612952710157924,10.387360410803709,1.0,0.12660730314044127,1.3197568998678595
X-Risk - Scenario 11,504.69787068661776,122.88284739550433,18900.15298156113,879.268010581329,3728.7799302409185,1861.7960116397828,737.734689962634,357.98414269094235,369.6005541414463,179.01447044278092,78.94135117138464,162.81013969069903,82.04392758671555,7.898438519701609,1.0,10.424018734558281
X-Risk - Scenario 12,48.41682306397009,11.78843309136776,1813.1349782500197,84.35019477337768,357.71040183178695,178.60635701540463,70.77257905502945,34.342238996955516,35.45662796212426,17.173268295201954,7.573024682858054,15.618749719908108,7.870661946790157,0.7577153035533475,0.09593229113113015,1.0
