,AMF,CF campaign,Shrimp - Stunning,Shrimp - Ammonia,X-Risk - Scenario 1,X-Risk - Scenario 2,X-Risk - Scenario 3,X-Risk - Scenario 4,X-Risk - Scenario 5,X-Risk - Scenario 6,X-Risk - Scenario 7,X-Risk - Scenario 8,X-Risk - Scenario 9,X-Risk - Scenario 10,X-Risk - Scenario 11,X-Risk - Scenario 12
AMF,1.0,0.261437369567173,45.202880645824244,2.104202026530469,10.523044889126503,5.278072901028451,2.0936354905959518,1.0138010081315074,1.0459681211615854,0.5071446640657823,0.22353133451945323,0.46121647062874593,0.2329093672150368,0.02234959217843764,0.0028315487378569267,0.02939420677344778
CF campaign,3.8250078848925333,1.0,172.90137489013384,8.04858934288589,40.250729673986946,20.188670463471432,8.008172259620363,3.8777968498150153,4.000836310789293,1.9398323388327925,0.8550091170574592,1.7641566367972588,0.8908801660628463,0.08548736630665647,0.010830696248760246,0.11243307267859927
Shrimp - Stunning,0.022122483915024076,0.00578364400303599,1.0,0.04655017548588136,0.23279589129677739,0.11676408285532637,0.046316417464632484,0.02242779649542447,0.023139412936025127,0.01121929967338556,0.00494506835241047,0.010203253952828607,0.005152533729873088,0.0004944284934748347,6.26408914078466e-05,0.0006502728665404903
Shrimp - Ammonia,0.4752395385004255,0.12424537485986847,21.48219613701133,1.0,5.00096699672774,2.508348929656363,0.9949783643389319,0.4817983232356837,0.49708540718698896,0.24101519610357572,0.10623092825740918,0.21918830265040026,0.11068774018770021,0.010621409872553424,0.001345663915420588,0.013969289261599403
X-Risk - Scenario 1,0.09502952905135882,0.024844270106394502,4.295608459537461,0.1999613276101053,1.0,0.501572782083473,0.19895719467654388,0.09634103235452995,0.09939785795672008,0.048193718587080873,0.02124207744760539,0.0438291839945796,0.02213326747809494,0.0021238712192068617,0.0002690807430445132,0.0027933176265190042
X-Risk - Scenario 2,0.18946308979649495,0.04953273182646473,8.564277434860042,0.3986686175025088,1.9937285987611217,1.0,0.39666664895590953,0.1920778714393969,0.19817235206390854,0.09608519502770858,0.04235093730438952,0.08738349759035656,0.04412772835510733,0.004234422789818372,0.0005364739727837389,0.005569117237414476
X-Risk - Scenario 3,0.47763806282981514,0.12487243875138698,21.590616345998836,1.0050469797545845,5.026206775913569,2.521008515921772,1.0,0.4842299496188469,0.499594187173361,0.24223159491885762,0.10676707360163504,0.22029454157631853,0.11124637897150823,0.010675015913145344,0.0013524554539581905,0.014039791981688629
X-Risk - Scenario 4,0.986386866830066,0.25787838783965783,44.58752781192801,2.075557244126865,10.379793277697631,5.206221791746131,2.065134551853169,1.0,1.0317292178367072,0.5002408362174334,0.2204883726949869,0.4549378693939099,0.22973874098261346,0.022045344203818856,0.0027930024878113223,0.028994059522216262
X-Risk - Scenario 5,0.9560520820552962,0.2499477415017557,43.21630815633732,2.0117267285294282,10.060578975810737,5.046112586267888,2.0016245698491213,0.969246564613886,1.0,0.484856711983325,0.21370759777192216,0.4409469670228079,0.22267348545611748,0.02136737413528207,0.002707108066269161,0.02810239258611864
X-Risk - Scenario 6,1.9718239604119916,0.5155084694596366,89.13212313707973,4.149115973460248,20.74959204887059,10.407430611049131,4.128280624726012,1.9990371189235387,2.062465003133527,1.0,0.44076444130832604,0.9094376877224148,0.4592562708790047,0.04406946136287978,0.005583315646380622,0.057960201213188796
X-Risk - Scenario 7,4.473645729131426,1.1695781717995377,202.22167394562922,9.413454409217723,47.076374825699055,23.612228291730244,9.366183470862556,4.535386550216652,4.679290818042148,2.268785560449679,1.0,2.063319094033359,1.0419539959162523,0.09998415759689668,0.012667345917941119,0.13149926759324068
X-Risk - Scenario 8,2.1681792903812958,0.5668430904273056,98.0079496818536,4.562287256701715,22.81584800035682,11.443808357132614,4.5393771123174265,2.198102350398414,2.267846418701583,1.0995805578548086,0.4846560102563721,1.0,0.504989266531455,0.04845792290975628,0.0061393053331266845,0.06373191038337508
X-Risk - Scenario 9,4.293515593457158,1.1224854229490793,194.0792729220292,9.034424212692722,45.18085732211429,22.661488303969318,8.989056625889047,4.352770437075215,4.490880438466354,2.177433523305029,0.959735270385561,1.9802401086037962,1.0,0.09595832252553016,0.01215729865962265,0.12620448513910207
X-Risk - Scenario 10,44.743545744193774,11.6976349044705,2022.5371579457685,94.14945962909127,470.8383403648362,236.15969628835603,93.67667534514754,45.36105178284187,46.80032247616181,22.691450475551118,10.001584491331837,20.636460251552897,10.421190926237225,1.0,0.12669353047921555,1.3152010353820514
X-Risk - Scenario 11,353.16361912839807,92.33016761175134,15964.01292390831,743.1276030668099,3716.3566172945084,1864.0233277507311,739.3958869945255,358.0376331077417,369.39788716235626,179.10504498312736,78.94313508749073,162.88487796887443,82.25511505456747,7.893062859780776,1.0,10.380964445519291
X-Risk - Scenario 12,34.02030909380806,8.894180121347354,1537.815971501455,71.58560333838386,357.99723973610077,179.56167151264012,71.22612651984076,34.489823656248106,35.58415878418681,17.25321822679337,7.604605092503206,15.690726889945184,7.923648663498797,0.7603400340310036,0.09633016327607474,1.0
