,"Mean Value, DALYs/$1000","Chance Prevent X-Risk, %","Chance Cause X-Risk, %"
Scenario 1,10.984738668287568,0.00018333333333333334%,8.333333333333333e-05%
Scenario 2,50.68772516078181,0.00055%,0.00015000000000000001%
Scenario 3,90.25123985390415,0.0009166666666666666%,0.00025%
Scenario 4,229.76115381190542,0.0018166666666666667%,3.3333333333333335e-05%
Scenario 5,169.3529417639493,0.0018333333333333333%,0.0005%
Scenario 6,396.3452831214912,0.00325%,0.00015000000000000001%
Scenario 7,829.0698253852544,0.0073%,0.0003333333333333333%
Scenario 8,448.73520679710333,0.0046166666666666665%,0.0009833333333333332%
Scenario 9,740.5035114805776,0.009783333333333333%,0.0034999999999999996%
Scenario 10,8428.847004338713,0.07376666666666666%,0.0022166666666666667%
Scenario 11,67130.88020646817,0.5845666666666667%,0.018483333333333334%
Scenario 12,6302.47525649784,0.07921666666666667%,0.0259%
