,Proportion of time best action
Nothing,0.0
AMF,2.025e-05
CF campaign,0.00423475
Shrimp - Ammonia,0.00032825
Shrimp - Stunning,0.0
X-Risk - Scenario 1,4.725e-05
X-Risk - Scenario 2,0.0002505
X-Risk - Scenario 3,0.0002195
X-Risk - Scenario 4,0.000361625
X-Risk - Scenario 5,0.00124275
X-Risk - Scenario 6,0.002151375
X-Risk - Scenario 7,0.013206375
X-Risk - Scenario 8,0.006579625
X-Risk - Scenario 9,0.0110975
X-Risk - Scenario 10,0.129357
X-Risk - Scenario 11,0.765433125
X-Risk - Scenario 12,0.065470125
