,Proportion of time best action
Nothing,0.0
AMF,5.9e-05
CF campaign,0.0062515
Shrimp - Ammonia,0.0003855
Shrimp - Stunning,0.0
X-Risk - Scenario 1,3.6e-05
X-Risk - Scenario 2,0.0002441666666666667
X-Risk - Scenario 3,0.00018316666666666666
X-Risk - Scenario 4,0.0003223333333333333
X-Risk - Scenario 5,0.001133
X-Risk - Scenario 6,0.0019228333333333333
X-Risk - Scenario 7,0.012123
X-Risk - Scenario 8,0.006177
X-Risk - Scenario 9,0.011017333333333334
X-Risk - Scenario 10,0.12910216666666666
X-Risk - Scenario 11,0.7655596666666666
X-Risk - Scenario 12,0.06548333333333334
