,c = 0,c = 0.01,c = 0.05,c = 0.10,c = 0.15,c = 0.25
Against Malaria,19.0583631,17.3891028,16.2214921,13.8167304,10.1667419,1.2585605
Chickens - Low Moral Weights,72.9418831,57.843751399999995,47.2892143,30.7667469,14.4505397,-5.3516493999999994
"Shrimp - Stunning, Low Moral Weights",0.3673067,0.20977310000000002,0.1616166,0.1060037,0.06244979999999999,0.0133774
"Shrimp - Ammonia, Low Moral Weights",18.6056563,10.2282775,6.7202862,3.2268875,1.1145551,-0.4924837
Scenario 1,10.984738700000001,-8.8192714,-16.818313200000002,-21.7475769,-23.293914100000002,-23.825790899999998
Scenario 2,50.687725199999996,0.6692021,-19.6149878,-32.0341132,-35.8809963,-37.1757671
Scenario 3,90.2512399,1.908535,-33.762499,-55.7676925,-62.6819662,-65.0650046
Scenario 4,229.7611538,93.40547310000001,38.3080269,4.3331017,-6.327531700000001,-9.9908615
Scenario 5,169.3529418,4.035773,-62.9872131,-104.05821189999999,-116.7998844,-121.09941599999999
Scenario 6,396.3452831,149.8090404,49.7903396,-11.4584999,-30.4394796,-36.835020899999996
Scenario 7,829.0698254,313.0445968,103.3152981,-24.7578453,-64.21543,-77.3695288
Scenario 8,448.7352068,59.674900199999996,-98.48760779999999,-194.9597498,-224.6354287,-234.511472
Scenario 9,740.5035115000001,-156.2141674,-521.192266,-743.3069619,-811.3201051000001,-833.7695769
Scenario 10,8428.8470043,3336.0206656,1261.3048081,-2.0949971,-389.16976969999996,-516.9957995
Scenario 11,67130.88020649999,26520.229149699997,9904.9230967,-225.012683,-3328.1015492,-4351.5693421
Scenario 12,6302.4752565,-775.2734968999999,-3657.6661979,-5411.509834500001,-5948.2676867,-6125.2678128
