,No ambiguity aversion,"Cubic, 1.5x weight to worst","Cubic, 2x weight to worst",1st-pct,5th-pct,25th-pct,Median,75th-pct,95th-pct,99th-pct
Against Malaria,19.059531801766408,17.993487812464505,16.927443823162566,-6.961358531992915,13.469588344673395,16.536522484141553,18.9006067549584,21.939393181552244,28.44587610299156,33.333333333333336
Chickens - Low Moral Weights,72.94505021972726,57.04995263606421,41.15485505240127,-36.41975793181089,0.0,16.599433728213047,43.45700427645994,92.43567222423245,250.35130506656552,490.3838253102
"Shrimp - Stunning, Low Moral Weights",0.46777599992669583,0.3010542271487158,0.13433245437073527,0.0,0.0,0.0,0.0,0.30657311549239585,2.2732486400947267,6.630235392728229
"Shrimp - Ammonia, Low Moral Weights",18.521932030299418,10.15350868434868,1.7850853383979404,-0.33395947478279714,0.0,0.0,0.0,2.309872908573269,56.80399593177025,320.1592613678157
Scenario 1,19.517209859733192,4.0059845855836365,-11.505240688565909,-203.9883347552023,-56.2910845068655,0.0,0.0,0.0,219.07282855758965,509.04799680148795
Scenario 2,37.578382099014625,7.593520480010056,-22.39134113899445,-395.2288975564363,-106.2871411437533,0.0,0.0,0.0,416.8588183640559,997.0935063200244
Scenario 3,98.69801247452592,61.09783110417719,23.4976497338284,-278.6422696185294,-137.1125352944426,-38.706987994348864,0.0,201.50539941254468,488.66585702089316,846.0814541602418
Scenario 4,203.3132513037833,165.73007581426097,128.1469003247383,-144.77454799532632,-44.46903471836713,79.57967750420354,166.61230838043863,284.8370243572357,588.6188530032409,974.2999158905088
Scenario 5,189.36866663094705,116.06968261586496,42.770698600782914,-547.8680297127052,-266.1316121002043,-72.86448923468429,0.0,381.79865339883224,954.1814731966946,1668.475100472742
Scenario 6,390.9322231147282,317.18792851140466,243.44363390808138,-281.1308601871368,-83.97761874142789,143.72017843866948,313.00845961921857,547.6916286621642,1154.9605628576444,1928.9828108933332
Scenario 7,866.6605299892353,747.7125202002105,628.764510411185,-567.7825922779087,-227.2889453964084,574.4548583942936,906.1056447151373,1244.5776031582461,1883.853196528133,2495.9449413062916
Scenario 8,420.3221440641436,288.6215290734457,156.92091408274786,-933.9024155747993,-545.5207067991612,-204.40603904620636,0.0,1015.5236073863076,1697.1649793596673,2309.0833410598193
Scenario 9,820.324408291747,196.05162427941434,-428.22115973291596,-8201.790864114326,-2828.717255417092,0.0,0.0,0.0,10495.78469595213,17165.30681176509
Scenario 10,8522.836117030969,7345.637989507865,6168.439861984769,-5602.699662448295,-2231.6380077410577,5575.0142031361465,8880.678811546433,12261.704076083226,18645.606964433555,24733.88442214022
Scenario 11,67178.26329191329,58853.91186806755,50529.56044422185,-43004.78704056309,-18344.386996373054,51956.656426334404,74434.41165172357,95437.12456052355,131535.6016710768,162992.21396500643
Scenario 12,6444.582801466599,1599.616081955257,-3245.3506375560837,-64016.129863437585,-23196.456571657043,0.0,0.0,0.0,84650.26391065495,123561.00306723583
