,"Mean, a = 1","Ambiguity averse, 1.5x weight to worst","Ambiguity averse, 2x weight to worst",fifth percentile,ninety fifth percentile,median
X-Risk - Scenario 11,-160004084631.69568,-174409724775.33725,-188815364918.97888,-315287673104.3355,-64532258066.90407,-141839466691.01263
CF campaign,-160568360675.26666,-174974701496.82986,-189381042318.3933,-315870699213.04785,-65090317172.9182,-142402806428.6541
X-Risk - Scenario 10,-160591882673.856,-174998142178.8168,-189404401683.77768,-315891339290.42426,-65116979186.950294,-142424070056.39822
X-Risk - Scenario 12,-160612558100.3303,-175018987280.95837,-189425416461.58606,-315906232524.0115,-65135053413.47044,-142446310925.9972
Shrimp - Ammonia,-160634692113.67648,-175040693192.76468,-189446694271.8527,-315931758084.22375,-65162709556.551605,-142466835014.05978
X-Risk - Scenario 7,-160668584227.63324,-175074954718.84702,-189481325210.0605,-315968608956.0049,-65193453726.39207,-142500638897.7694
X-Risk - Scenario 9,-160668907866.51874,-175075283190.4958,-189481658514.47302,-315969574912.38947,-65193478958.733665,-142500376277.37024
X-Risk - Scenario 8,-160672976967.49185,-175079355446.4531,-189485733925.41446,-315973787957.19965,-65198467556.10724,-142505186871.25012
X-Risk - Scenario 6,-160673351460.89093,-175079729613.97607,-189486107767.061,-315974478587.3182,-65198104350.410934,-142505806360.17828
Shrimp - Stunning,-160674981636.7418,-175081362633.34027,-189487743629.9392,-315975023672.6567,-65199158227.66846,-142507616248.15656
AMF,-160675206093.31894,-175081590158.35532,-189487974223.39218,-315976056702.542,-65199685977.2924,-142507484214.0042
X-Risk - Scenario 4,-160675231514.82532,-175081612601.3774,-189487993687.92944,-315976296968.3135,-65200071860.04951,-142507495777.71722
X-Risk - Scenario 5,-160675290554.51434,-175081672140.17728,-189488053725.84033,-315975212633.75366,-65199721826.06617,-142507805866.8355
X-Risk - Scenario 3,-160676199525.03577,-175082582103.57138,-189488964682.10754,-315976604013.24896,-65200831767.71082,-142508477006.62524
X-Risk - Scenario 2,-160676750427.7765,-175083133977.01437,-189489517526.25204,-315978074824.2098,-65200941563.00785,-142509227934.90134
X-Risk - Scenario 1,-160676931513.43765,-175083315297.6283,-189489699081.81873,-315977873881.538,-65201361473.32937,-142509248991.76715
Nothing,-160677112046.49875,-175083496139.13025,-189489880231.76175,-315978079739.2588,-65201528608.924416,-142509422664.74652
