,"Mean, a = 1.54","Ambiguity averse, 1.5x weight to worst","Ambiguity averse, 2x weight to worst",fifth percentile,ninety fifth percentile,median
X-Risk - Scenario 11,961411733.6427262,854208140.4582584,747004547.2737896,-269684645.59558564,1688201629.3406394,1117789840.079979
X-Risk - Scenario 10,121719848.91994768,106027651.11900517,90335453.31806296,-32816724.6210968,248180879.96626586,132027507.35649109
CF campaign,115613195.01351036,90382053.22232106,65150911.431132,6514204.925402832,402286952.0512801,63928130.89717102
X-Risk - Scenario 12,92528058.47444397,24142433.3974967,-44243191.679450534,-340315795.28619075,1226181291.133084,0.0
Shrimp - Ammonia,52804897.18973229,30569272.596765812,8333648.003799397,31598.60505523682,206544419.46710962,5005556.921813965
X-Risk - Scenario 7,12171547.0185261,10602764.46449632,9033981.910466535,-3279337.807064819,24806081.132975765,13209861.662902832
X-Risk - Scenario 9,11666983.138570301,2854635.924544722,-5957711.289480873,-41447514.52762298,151910776.79763946,0.0
X-Risk - Scenario 8,5904460.366764702,4127219.91409865,2349979.4614325985,-7550352.619833373,22654791.59629058,0.0
X-Risk - Scenario 6,5368721.57049942,4362007.752830514,3355293.9351616157,-1157350.4220306396,15805705.738385009,4326471.849731445
X-Risk - Scenario 4,2682886.9178918684,2180374.5239902586,1677862.1300886506,-577698.661491394,7896357.741664122,2163422.68888855
X-Risk - Scenario 5,2602273.7600597013,1598698.9986930988,595124.2373264912,-3663049.741809082,13115280.051821893,0.0
Shrimp - Stunning,1934746.297449987,1291768.1963700862,648790.0952901888,7654.049993896484,8248039.845663451,410694.51528930664
AMF,1905836.3140324873,1799186.7530414306,1692537.1920503753,1346678.7531066895,2844767.48895874,1889753.224609375
X-Risk - Scenario 3,1299490.4386873764,798102.5457708901,296714.6528543992,-1832276.4663948058,6554391.02578125,0.0
X-Risk - Scenario 2,518420.1785195891,106761.17451027338,-304897.82949904347,-1460319.751405716,5789916.284776303,0.0
X-Risk - Scenario 1,258203.942091244,52336.92702086791,-153530.0880495085,-735091.518434906,2899241.415118408,0.0
Nothing,0.0,0.0,0.0,0.0,0.0,0.0
