,"Mean, a = 1","Ambiguity averse, 1.5x weight to worst","Ambiguity averse, 2x weight to worst",fifth percentile,ninety fifth percentile,median
X-Risk - Scenario 11,673315956.0591923,598594153.383616,523872350.70803934,-189079306.2526188,1176591817.7455993,784144703.2566681
CF campaign,108388739.01314156,84710143.25476001,61031547.496378586,6078645.261063385,377456416.0770317,59830796.09725952
X-Risk - Scenario 10,85263151.08963224,74303282.51128715,63343413.932942115,-23016768.416820522,173336936.9225128,92625057.1849823
X-Risk - Scenario 12,64786281.52683828,16916766.839943446,-30952747.846951537,-238601795.78742903,858844863.063161,0.0
Shrimp - Ammonia,42725581.519527,24748439.48633428,6771297.453141519,25198.149604034425,167528840.03877726,4035478.7232894897
X-Risk - Scenario 7,8526375.500427062,7430651.375865344,6334927.251303637,-2297593.848490906,17326110.641055297,9267794.5705719
X-Risk - Scenario 9,8171850.838500371,2001025.1872493401,-4169800.46400173,-29062452.147107694,106473491.41261938,0.0
X-Risk - Scenario 8,4135971.962430966,2893257.481640109,1650543.0008492498,-5287353.353747559,15832253.818788907,0.0
X-Risk - Scenario 6,3760803.789676214,3056413.537185581,2352023.2846949454,-811930.033341217,11058819.445416259,3035051.260948181
AMF,1905836.3140325514,1799186.753041464,1692537.192050374,1346678.7531066895,2844767.48895874,1889753.224609375
X-Risk - Scenario 4,1879421.4730403456,1527802.4532713576,1176183.4335023707,-404963.60328979493,5524500.287916946,1517581.1824493408
X-Risk - Scenario 5,1822939.1586440427,1120480.4229962258,418021.6873484047,-2565042.823785019,9183498.002679052,0.0
Shrimp - Stunning,1581912.1626568588,1053646.9705934576,525381.7785300561,6082.132582855224,6737039.204380797,330379.22620773315
X-Risk - Scenario 3,910313.6389378234,559384.456154431,208455.27337103907,-1282976.9342071533,4587810.301049041,0.0
X-Risk - Scenario 2,363235.99040808226,74896.58953768818,-213442.8113327059,-1023904.0435638428,4058510.4528251616,0.0
X-Risk - Scenario 1,180889.24832657265,36689.733349384594,-107509.7816278034,-515584.481703186,2032555.864818573,0.0
Nothing,0.0,0.0,0.0,0.0,0.0,0.0
