,Mean DALYs/$1000,0.15th-pct,1st-pct,5th-pct,25th-pct,50th-pct,75th-pct,95th-pct,99th-pct,99.85th-pct
Against Malaria,19.06,-9.54,-6.96,13.47,16.54,18.9,21.94,28.45,33.33,33.33
Chickens - RP Moral Weights,1130.69,-2137.46,-506.82,0.0,184.03,556.83,1329.8,4209.3,9110.7,18336.73
"Shrimp - Stunning, RP Moral Weights",37.66,-17.69,0.0,0.0,0.0,0.0,7.14,144.29,697.68,2524.22
"Shrimp - Ammonia, RP Moral Weights",1492.98,-1501.42,-6.18,0.0,0.0,0.0,57.6,2844.24,23066.22,139735.7
Scenario 1,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 2,43.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 3,90.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 4,198.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 5,213.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 6,370.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 7,814.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 8,399.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 9,812.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 10,8294.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 11,66853.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13447362.9
Scenario 12,6427.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
