,AMF,CF campaign,Shrimp - Stunning,Shrimp - Ammonia,X-Risk - Scenario 1,X-Risk - Scenario 2,X-Risk - Scenario 3,X-Risk - Scenario 4,X-Risk - Scenario 5,X-Risk - Scenario 6,X-Risk - Scenario 7,X-Risk - Scenario 8,X-Risk - Scenario 9,X-Risk - Scenario 10,X-Risk - Scenario 11,X-Risk - Scenario 12
AMF,1.0,0.01758334243376961,1.2047674700418602,0.04460644527825844,10.535929203441682,5.246826758249958,2.09360404207096,1.0140547723707096,1.0454744498714756,0.5067630274315997,0.22352244678141298,0.46079526924848246,0.23321966488344448,0.02235240299797336,0.002830523021000569,0.029417282009664994
CF campaign,56.87200847999494,1.0,68.51754577264272,2.5368581341275442,599.1994550027617,298.39757588825603,119.06746683441132,57.671331613446334,59.45823177870861,28.820631193437844,12.712170488821736,26.206352460241245,13.263670758952832,1.2712260528490054,0.16097752925316525,1.6730199119120701
Shrimp - Stunning,0.8300356914228889,0.01459480179453938,1.0,0.0370249416484565,8.745197281161325,4.355053476060119,1.7377660786261242,0.8417016541254022,0.8677811078640347,0.42063139986174425,0.185531608662746,0.3824765199150604,0.19358064579494427,0.018553292277385874,0.0023494351328246115,0.024417394012674395
Shrimp - Ammonia,22.41828493084179,0.3941883807168082,27.00882041880782,1.0,236.1974628939326,117.62485724921252,46.935011947508855,22.73336882248648,23.437744105133813,11.360757941377594,5.010989900384636,10.330239640796439,5.228384898832495,0.501102539297569,0.06345547158809783,0.6594850099835959
X-Risk - Scenario 1,0.09491331810328969,0.0016688933737354467,0.1143484781245786,0.004233745730152328,1.0,0.49799373713863054,0.1987109064274141,0.09624730318418018,0.09922944902951317,0.04809856042560154,0.02121525709458989,0.04373560797067223,0.022135652241024987,0.002121540736119572,0.0002686543318909115,0.0027920918451175146
X-Risk - Scenario 2,0.19059138905770595,0.0033512336587294537,0.2296183056068163,0.008501604366509825,2.0080573818975997,1.0,0.3990229025151321,0.19327010764672936,0.19925842762534554,0.09658466932127693,0.042601453617646654,0.08782361043728788,0.04444965988570837,0.004260175536161374,0.0005394733143323126,0.005606680640524315
X-Risk - Scenario 3,0.47764523754492555,0.008398599773611654,0.5754514444145433,0.021306056150968478,5.032436407134421,2.506121813301373,1.0,0.484358432632573,0.4993658919560114,0.24205294661655208,0.10676443218953098,0.22009666583976933,0.11139626223340078,0.010676518839666893,0.0013519858407421972,0.014051024653432501
X-Risk - Scenario 4,0.9861400264032567,0.017339637771895067,1.1880694247168648,0.0439882011244572,10.389901502864824,5.174105877913928,2.0645867453258213,1.0,1.0309842016001873,0.499739305251592,0.22042443157074312,0.45440865898319427,0.22998724648591862,0.022042599282597684,0.002791292046664527,0.029009559257723087
X-Risk - Scenario 5,0.956503528252588,0.01681852907637408,1.1523643358189835,0.04266622229146019,10.077653456511449,5.018608306396175,2.002539653004753,0.9699469676139587,1.0,0.48472062372628816,0.21380000899007284,0.4407523008382747,0.22307543231890084,0.021380152332485244,0.0027074052563872187,0.02813773403384595
X-Risk - Scenario 6,1.9733089153489496,0.034697366386191066,2.3773783895560014,0.08802229614961243,20.79064302863683,10.353610019346071,4.131327521429223,2.001043322971271,2.0630440527009215,1.0,0.4410788370143734,0.9092914129586501,0.46021444394919536,0.04410819611537342,0.005585496312440865,0.0580493848550062
X-Risk - Scenario 7,4.473823611003685,0.07866477254056146,5.389917153242449,0.19956136808881644,47.13588883422065,23.473377433904588,9.366415195509813,4.536702183483047,4.677268278536096,2.2671683973071985,1.0,2.061516755402661,1.043383643305921,0.10000070829500277,0.012663260722841825,0.13160773082639318
X-Risk - Scenario 8,2.170161168605125,0.03815868696405354,2.6145395806834832,0.09680317541238591,22.86466443248187,11.386459689152371,4.543458194537128,2.2006622898376236,2.268848053879882,1.0997574438168316,0.4850797343166281,1.0,0.5061242604851516,0.04850831701121457,0.006142691147018304,0.06384024310328111
X-Risk - Scenario 9,4.287803091131989,0.07539391003994961,5.165805682140755,0.19126365394852649,45.175989806465054,22.49735999265821,8.97696188319829,4.348067187548275,4.48278857785843,2.1729000754926187,0.9584202382467283,1.9757993798626405,1.0,0.09584270266893813,0.012136725358966498,0.12613551273374304
X-Risk - Scenario 10,44.737919233590574,0.7866421536585506,53.89878976998999,1.9955995461563036,471.35554975440226,234.7321117432285,93.66348854128937,45.36670050475788,46.77235149913262,22.67152339180475,9.999929171001401,20.61502153885923,10.433762531240598,1.0,0.12663171030234224,1.3160679866201495
X-Risk - Scenario 11,353.29159755305835,6.212047138748947,425.63422417104516,15.759082313519002,3722.255259989834,1853.6598075062623,739.6527166667898,358.25703053715097,369.3573385959985,179.0351195421342,78.96860231237386,162.79509681768803,82.39454798746101,7.8969161643037795,1.0,10.392878556863389
X-Risk - Scenario 12,33.99362319304183,0.597721517167787,40.9544114118373,1.516334692770157,358.1544073303619,178.35865177911825,71.1691869215895,34.4713958290757,35.53946450688364,17.22671140267492,7.598337831074097,15.664100751969166,7.927981409255301,0.7598391649721249,0.09621973301512375,1.0
