,Proportion of time best action
Nothing,0.0
AMF,1.5e-06
CF campaign,0.05668533333333333
Shrimp - Ammonia,0.0185315
Shrimp - Stunning,0.00015366666666666667
X-Risk - Scenario 1,3.5e-06
X-Risk - Scenario 2,3.0166666666666667e-05
X-Risk - Scenario 3,1.4833333333333334e-05
X-Risk - Scenario 4,2.7333333333333335e-05
X-Risk - Scenario 5,0.00013683333333333334
X-Risk - Scenario 6,0.00022666666666666666
X-Risk - Scenario 7,0.0014893333333333334
X-Risk - Scenario 8,0.0008015
X-Risk - Scenario 9,0.008169333333333334
X-Risk - Scenario 10,0.09131983333333334
X-Risk - Scenario 11,0.7575085
X-Risk - Scenario 12,0.06490016666666666
