,Proportion of time best action
Nothing,0.0
AMF,2.625e-06
CF campaign,0.07276525
Shrimp - Ammonia,0.02010975
Shrimp - Stunning,0.000252625
X-Risk - Scenario 1,3e-06
X-Risk - Scenario 2,2.05e-05
X-Risk - Scenario 3,1.0875e-05
X-Risk - Scenario 4,1.9375e-05
X-Risk - Scenario 5,9.8875e-05
X-Risk - Scenario 6,0.000172625
X-Risk - Scenario 7,0.001039875
X-Risk - Scenario 8,0.000554625
X-Risk - Scenario 9,0.0073625
X-Risk - Scenario 10,0.080773375
X-Risk - Scenario 11,0.75235875
X-Risk - Scenario 12,0.064455375
