,c = 0,c = 0.01,c = 0.05,c = 0.10,c = 0.15,c = 0.25
Against Malaria,19.0595318,17.3906329,16.2232395,13.818800900000001,10.1690011,1.2598435000000001
Chickens - RP Moral Weights,1132.1145911,891.3962981999999,690.1199640000001,382.8998218,113.66976369999999,-138.0962833
"Shrimp - Stunning, RP Moral Weights",37.8129574,21.4626277,14.497935400000001,7.497775799999999,3.2764145,0.1425213
"Shrimp - Ammonia, RP Moral Weights",1471.1383448,785.7458766,435.2608651,140.0757581,4.457769,-66.6658048
Scenario 1,12.8332762,-1.5215227,-7.2930847,-10.8786828,-12.019,-12.419113999999999
Scenario 2,47.3942255,4.9353392,-12.275290900000002,-22.8208233,-26.0919854,-27.195579300000002
Scenario 3,88.0112949,20.968105700000002,-6.018248000000001,-22.7588987,-28.0682762,-29.923294300000002
Scenario 4,187.9074727,77.42118570000001,32.859239,5.2901466,-3.4076501,-6.4200327
Scenario 5,199.8075509,29.247144700000003,-39.923790600000004,-82.28565400000001,-95.41544449999999,-99.84027300000001
Scenario 6,374.34393200000005,148.8264497,57.4074838,1.3375151,-16.080541399999998,-21.9688322
Scenario 7,843.7946247,314.0323631,98.7402366,-32.7660371,-73.2967012,-86.8148505
Scenario 8,421.9977418,44.5086912,-108.902033,-202.531798,-231.36196370000002,-240.97067260000003
Scenario 9,806.3836834,-94.7251435,-461.5716775,-684.7211918,-753.0079208,-775.5316597
Scenario 10,8525.2804186,3292.2484917,1160.1430704000002,-137.8373766,-535.3503656,-666.5644254
Scenario 11,67125.0367622,26533.974821599997,9926.9496181,-198.6488295,-3300.6974975,-4323.9282395
Scenario 12,6320.2541241,-650.6824628,-3489.5127552,-5216.9733299,-5745.7063814,-5920.0782526
