,No ambiguity aversion,"Cubic, 1.5x weight to worst","Cubic, 2x weight to worst",1st-pct,5th-pct,25th-pct,Median,75th-pct,95th-pct,99th-pct
Against Malaria,19.06239020457545,17.99631421721145,16.93023822984742,-6.956277330483093,13.473394314692802,16.537166292811563,18.899442500697937,21.942938432394275,28.44925087218542,33.333333333333336
Chickens - RP Moral Weights,1130.6878494550342,855.0289847251322,579.370119995229,-506.8160496870249,0.0,184.0268961789285,556.829393458974,1329.8049108027978,4209.301847032319,9110.703729623836
"Shrimp - Stunning, RP Moral Weights",37.65510743227103,21.738405373328817,5.821703314386594,0.0,0.0,0.0,0.0,7.144226868423338,144.2923008253122,697.6838902342282
"Shrimp - Ammonia, RP Moral Weights",1492.9843368606314,776.2345548698686,59.4847728791052,-6.182323195731938,0.0,0.0,0.0,57.60461606706964,2844.236615700956,23066.217534136453
Scenario 1,19.59273327092073,4.04124706357473,-11.510239143771319,-204.26384020682576,-56.3852619225598,0.0,0.0,0.0,219.31402392457954,509.9322477195034
Scenario 2,37.54642432722997,7.581498040984613,-22.383428245260703,-396.583912188658,-106.412551759444,0.0,0.0,0.0,417.16802439882633,996.8973760752099
Scenario 3,98.45703817647403,60.890444786578016,23.323851396682038,-279.40163506582047,-137.07548738104626,-38.70941593450208,0.0,201.1255795888012,488.03199796062313,846.2189266972143
Scenario 4,203.25333974036815,165.6792059983125,128.105072256257,-145.44789948306385,-44.50722930926917,79.55522153751551,166.56913607652194,284.8617112525932,588.5258899994233,973.1738303196814
Scenario 5,189.469853497314,116.17259783020378,42.87534216309386,-546.6990950022968,-265.55153597084706,-72.79609649861833,0.0,381.7662589606527,954.5532704878829,1670.7172044899517
Scenario 6,390.70343238673627,317.0043040175814,243.30517564842754,-281.4946727800238,-83.93544552284672,143.64444372539683,312.85449406767793,547.3634820736887,1154.5527982477379,1925.5838923351469
Scenario 7,866.9372474571877,747.9310031583889,628.9247588595885,-567.9797617553155,-227.2143607246444,574.4945966541668,906.1064440640317,1245.4732276970863,1884.7791471274695,2495.2910692564633
Scenario 8,419.96310594011936,288.3627723404978,156.76243874087723,-933.7944438894785,-545.3581532481498,-204.5184334711434,0.0,1015.2124385042146,1695.4723139609969,2306.571335606652
Scenario 9,818.1605668551779,194.83409500075106,-428.4923768536751,-8197.914274992352,-2823.0907971537426,0.0,0.0,0.0,10489.714084208157,17170.147394092437
Scenario 10,8527.899990266775,7350.293703631317,6172.6874169958555,-5600.448921608511,-2225.761890610974,5576.708343205275,8883.67425307979,12267.438299948148,18654.86606188198,24760.4166620385
Scenario 11,67183.54807658517,58860.22766225426,50536.90724792328,-42998.54774268465,-18295.531630303038,51953.3580371171,74440.36967330551,95446.3699427395,131534.61094865855,163164.83746088578
Scenario 12,6481.096662858617,1631.8344817564812,-3217.427699345624,-63861.11748462854,-23124.394315891346,0.0,0.0,0.0,84749.29019433491,123724.46283285246
